movie_title,weekend_of,actual_total_m,predicted_mid_m,error_pct,coverage_ratio,genre,audience_type,franchise_type,rating,imdb_rating,rt_audience_score,social_buzz_score,social_sentiment_score,national_theatre_count,log_theatre_count,footprint_factor,wide_release_ratio,thursday_actual_m,thursday_predicted_m,friday_actual_m,friday_predicted_m,saturday_actual_m,saturday_predicted_m,sunday_actual_m,sunday_predicted_m
Michael,2026-04-24,97.0,93.37,-3.7,0.846,music_biopic,broad_legacy,biopic,PG-13,0.0,0.0,0.0,0.0,3955,8.28299,0.99797,0.98875,12.6,10.63,26.9,37.35,32.5,17.84,25.0,27.55
The Devil Wears Prada 2,2026-05-01,76.747075,95.93,25.0,0.718,comedy,female_skewing,sequel,PG-13,0.0,0.0,0.0,0.0,4150,8.3311,1.00665,1.0375,10.0,13.07,22.900084,36.27,25.10554,30.73,18.741451,15.47
Mortal Kombat II,2026-05-08,38.5,46.4,20.5,0.994,action,fan_driven,video_game,R,0.0,0.0,0.0,0.0,3503,8.16166,0.9764,0.87575,5.2,4.55,11.6,18.29,13.3,15.14,8.4,8.04
The Sheep Detectives,2026-05-08,15.087796,21.14,40.1,0.871,comedy,broad_family,original,PG,0.0,0.0,0.0,0.0,3457,8.14845,0.97408,0.86425,1.03,0.42,2.980418,7.1,5.187014,7.78,5.890364,5.76
Obsession,2026-05-15,17.2,17.24,0.2,0.813,horror,horror_fan,original,R,0.0,0.0,0.0,0.0,2615,7.8694,0.92635,0.65375,2.6,1.57,4.37,4.78,5.4,5.48,3.73,0.0
