movie,release_year,genre,audience_type,franchise_type,rating,thursday_preview_m,opening_weekend_m,friday_m,saturday_m,sunday_m,source_url,daily_source_url,notes,daily_notes,imdb_rating,imdb_votes,imdb_url,rt_audience_score,rt_audience_score_type,rt_critic_score,rt_url,social_media_universe_m,social_sentiment_score,social_source_url,social_notes,social_buzz_score,national_theatre_count,wiki_release_week_views,wiki_article,wiki_opening_friday
The Monkey,2025,horror,horror_fan,original,R,1.9,14.014649,5.89594,5.011549,3.10716,https://www.the-numbers.com/box-office-chart/daily/2025/02/20,https://www.boxofficemojo.com/release/rl2385608705,Post-COVID supplemental original horror comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.9,93035,https://www.imdb.com/title/tt27714946/,55,VERIFIED,77,https://www.rottentomatoes.com/m/the_monkey,,,,,,3227,141526,The Monkey (film),2025-05-02
A Working Man,2025,action,broad_adult,original,R,1.1,15.510312,5.614213,5.832462,4.063637,https://www.the-numbers.com/box-office-chart/daily/2025/03/27,https://www.boxofficemojo.com/release/rl3457581057,Post-COVID supplemental adult action original comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.7,76627,https://www.imdb.com/title/tt9150192/,87,VERIFIED,46,https://www.rottentomatoes.com/m/a_working_man,,,,,,3262,171112,A Working Man,2025-03-28
Materialists,2025,comedy,female_skewing,original,R,1.5,11.338642,5.116356,3.867454,2.354832,https://www.the-numbers.com/box-office-chart/daily/2025/06/12,https://www.boxofficemojo.com/release/rl3442638849,Post-COVID supplemental female-skewing romantic comedy/drama comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.2,96573,https://www.imdb.com/title/tt30253473/,66,VERIFIED,77,https://www.rottentomatoes.com/m/materialists,,,,,,2844,158055,Materialists (film),2025-06-13
The Long Walk,2025,thriller,broad_adult,book_adaptation,R,1.3,11.703621,4.758107,4.001971,2.943543,https://www.the-numbers.com/box-office-chart/daily/2025/09/11,https://www.boxofficemojo.com/release/rl624590849,Post-COVID supplemental adult thriller book-adaptation comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.7,113244,https://www.imdb.com/title/tt10374610/,85,VERIFIED,88,https://www.rottentomatoes.com/m/the_long_walk_2025,,,,,,2845,185537,The Long Walk (2025 film),2025-09-12
I Know What You Did Last Summer,2025,horror,horror_fan,legacy_sequel,R,2.2,12.755359,5.810772,3.9171,3.027487,https://www.the-numbers.com/box-office-chart/daily/2025/07/17,https://www.boxofficemojo.com/release/rl2372632577,Post-COVID supplemental horror legacy sequel comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.1,47557,https://www.imdb.com/title/tt4045450/,67,VERIFIED,36,https://www.rottentomatoes.com/m/i_know_what_you_did_last_summer_2025,,,,,,3206,275659,I Know What You Did Last Summer (2025 film),2025-07-18
Heart Eyes,2025,horror,broad_adult,original,R,1.1,8.305156,3.716458,3.322997,1.265701,https://www.the-numbers.com/box-office-chart/daily/2025/02/06,https://www.boxofficemojo.com/release/rl2533982209,Post-COVID supplemental adult horror/comedy comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.0,37650,https://www.imdb.com/title/tt32558992/,76,VERIFIED,78,https://www.rottentomatoes.com/m/heart_eyes,,,,,,3102,50304,Heart Eyes,2025-02-07
Flight Risk,2025,thriller,broad_adult,original,R,0.95,11.583488,4.376398,4.963315,2.243775,https://www.the-numbers.com/box-office-chart/daily/2025/01/23,https://www.boxofficemojo.com/release/rl1365934081,Post-COVID supplemental adult thriller comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.2,44075,https://www.imdb.com/title/tt10078772/,62,VERIFIED,28,https://www.rottentomatoes.com/m/flight_risk_2024,,,,,,3161,126444,Flight Risk (film),2025-01-24
Warfare,2025,action,broad_adult,original,R,1.16,8.317989,3.555,2.73735,2.025639,https://www.the-numbers.com/box-office-chart/daily/2025/04/10,https://www.boxofficemojo.com/release/rl1613266945,Post-COVID supplemental adult war/action comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,7.1,110351,https://www.imdb.com/title/tt31434639/,93,VERIFIED,92,https://www.rottentomatoes.com/m/warfare,,,,,,2670,126057,Warfare (film),2025-04-11
Him,2025,horror,broad_adult,original,R,2,13.25156,6.48644,4.33406,2.43106,https://www.the-numbers.com/box-office-chart/daily/2025/09/18,https://www.boxofficemojo.com/release/rl3446243329,Post-COVID supplemental adult horror comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.0,23366,https://www.imdb.com/title/tt20990442/,56,VERIFIED,30,https://www.rottentomatoes.com/m/him_2025_2,,,,,,3168,226370,Him (2025 film),2025-09-19
M3GAN 2.0,2025,horror,horror_fan,franchise,PG-13,1.5,10.201625,4.567955,3.28722,2.34645,https://www.the-numbers.com/box-office-chart/daily/2025/06/26,https://www.boxofficemojo.com/release/rl1392018177,Post-COVID supplemental horror franchise comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.0,52153,https://www.imdb.com/title/tt26342662/,81,VERIFIED,57,https://www.rottentomatoes.com/m/m3gan_20,,,,,,3133,152885,M3GAN 2.0,2025-06-27
The Woman in the Yard,2025,horror,horror_fan,original,PG-13,0.87,9.395255,3.669845,3.525595,2.199815,https://www.the-numbers.com/box-office-chart/daily/2025/03/27,https://www.boxofficemojo.com/release/rl4048781313,Post-COVID supplemental original horror comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.0,20991,https://www.imdb.com/title/tt31314296/,46,VERIFIED,41,https://www.rottentomatoes.com/m/the_woman_in_the_yard,,,,,,2845,100875,The Woman in the Yard,2025-03-28
Nobody 2,2025,action,broad_adult,franchise,R,1.3,9.25119,3.869645,3.113695,2.26785,https://www.the-numbers.com/box-office-chart/daily/2025/08/14,https://www.boxofficemojo.com/release/rl511016961,Post-COVID supplemental adult action franchise comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.3,91047,https://www.imdb.com/title/tt28996126/,88,VERIFIED,76,https://www.rottentomatoes.com/m/nobody_2,,,,,,3282,3605,Nobody (2025 film),2025-12-26
Black Bag,2025,thriller,broad_adult,original,R,0.85,7.60725,2.782565,2.940735,1.88395,https://www.the-numbers.com/box-office-chart/daily/2025/03/13,https://www.boxofficemojo.com/release/rl1400602625,Post-COVID supplemental adult thriller comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.7,93294,https://www.imdb.com/title/tt30988739/,70,VERIFIED,96,https://www.rottentomatoes.com/m/black_bag,,,,,,2713,124406,Black Bag,2025-04-04
Death of a Unicorn,2025,comedy,broad_adult,original,R,0.7,5.787425,2.27225,2.06775,1.447425,https://www.the-numbers.com/box-office-chart/daily/2025/03/27,https://www.boxofficemojo.com/release/rl1646755841,Post-COVID supplemental adult comedy/horror comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.8,52618,https://www.imdb.com/title/tt28443655/,76,VERIFIED,52,https://www.rottentomatoes.com/m/death_of_a_unicorn,,,,,,3050,76389,Death of a Unicorn,2025-03-28
Last Breath,2025,thriller,broad_adult,original,PG-13,1,7.85119,3.05508,2.949455,1.846655,https://www.the-numbers.com/box-office-chart/daily/2025/02/27,https://www.boxofficemojo.com/release/rl4101275649,Post-COVID supplemental adult survival thriller comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.6,37194,https://www.imdb.com/title/tt14403504/,91,VERIFIED,79,https://www.rottentomatoes.com/m/last_breath_2025,6.600,,https://www.relishmix.com/last-breath-focus,RelishMix public social metrics matched from Last Breath / Focus,,3090,75434,Last Breath (2025 film),2025-03-21
Companion,2025,thriller,broad_adult,original,R,1.1,9.300113,4.050659,3.199373,2.050081,https://www.the-numbers.com/box-office-chart/daily/2025/01/30,https://www.boxofficemojo.com/release/rl3781722113,Post-COVID supplemental adult thriller comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.9,175237,https://www.imdb.com/title/tt26584495/,88,VERIFIED,93,https://www.rottentomatoes.com/m/companion_2025,,,,,,3285,171895,Companion (film),2025-01-31
Wolf Man,2025,horror,horror_fan,remake,R,1.4,10.897495,4.397315,3.693235,2.806945,https://www.the-numbers.com/box-office-chart/daily/2025/01/16,https://www.boxofficemojo.com/release/rl3494150145,Post-COVID supplemental horror remake comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.6,43404,https://www.imdb.com/title/tt4216984/,54,VERIFIED,48,https://www.rottentomatoes.com/m/wolf_man_2025,,,,,,3354,191242,Wolf Man (2025 film),2025-01-17
Until Dawn,2025,horror,horror_fan,video_game,R,1,8.003402,3.255906,2.943837,1.803659,https://www.the-numbers.com/box-office-chart/daily/2025/04/24,https://www.boxofficemojo.com/release/rl923893761,Post-COVID supplemental video-game horror comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,5.7,65435,https://www.imdb.com/title/tt30955489/,66,VERIFIED,52,https://www.rottentomatoes.com/m/until_dawn_2025,,,,,,3055,140826,Until Dawn (film),2025-04-25
Novocaine,2025,action,broad_adult,original,R,1.75,8.809436,3.916495,2.889782,2.003159,https://www.the-numbers.com/box-office-chart/daily/2025/03/13,https://www.boxofficemojo.com/release/rl3662970881,Post-COVID supplemental adult action/comedy comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.5,88064,https://www.imdb.com/title/tt29603959/,84,VERIFIED,81,https://www.rottentomatoes.com/m/novocaine_2025,,,,,,3369,115467,Novocaine (2025 film),2025-03-14
Drop,2025,thriller,broad_adult,original,PG-13,0.73,7.397015,3.334985,2.545415,1.516615,https://www.the-numbers.com/box-office-chart/daily/2025/04/10,https://www.boxofficemojo.com/release/rl2439741441,Post-COVID supplemental adult thriller comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.1,55962,https://www.imdb.com/title/tt32149847/,79,VERIFIED,83,https://www.rottentomatoes.com/m/drop_2025,,,,,,3089,107749,Drop (film),2025-04-11
The Naked Gun,2025,comedy,broad_legacy,legacy_sequel,PG-13,1.6,16.80556,6.281224,5.968985,4.555351,https://www.the-numbers.com/box-office-chart/daily/2025/07/31,https://www.boxofficemojo.com/release/rl3528753153,Post-COVID supplemental legacy comedy sequel comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.3,125885,https://www.imdb.com/title/tt3402138/,72,VERIFIED,87,https://www.rottentomatoes.com/m/the_naked_gun_2025,,,,,,3363,293333,The Naked Gun (2025 film),2025-08-01
The King of Kings,2025,animation,broad_family,brand_adaptation,PG,2,19.371296,7.010275,6.802329,5.558692,https://www.the-numbers.com/box-office-chart/daily/2025/04/10,https://www.boxofficemojo.com/release/rl4231757825,Post-COVID supplemental faith-family animation comp.,Box Office Mojo Domestic Daily opening Friday/Saturday/Sunday; Friday includes previews under public daily convention.,6.9,8324,https://www.imdb.com/title/tt7967302/,97,VERIFIED,60,https://www.rottentomatoes.com/m/the_king_of_kings,,,,,,3535,104224,The King of Kings (2025 film),2025-04-18
