movie,weekend_of,genre,audience_type,franchise_type,rating,notes,imdb_rating,imdb_votes,rt_audience_score,rt_audience_score_type,national_theatre_count
Michael,2026-04-24,music_biopic,broad_legacy,biopic,PG-13,Manual metadata for historical-comp replay; scraper-independent.,,,,,3955
The Devil Wears Prada 2,2026-05-01,comedy,female_skewing,sequel,PG-13,Manual metadata for historical-comp model; comedy-drama legacy sequel with female-skewing audience.,,,,,4150
Mortal Kombat II,2026-05-08,action,fan_driven,video_game,R,Manual metadata for current-weekend comp model; action video-game sequel.,,,,,3503
The Sheep Detectives,2026-05-08,comedy,broad_family,original,PG,Manual metadata for current-weekend comp model; broad-family original comedy.,,,,,3457
Obsession,2026-05-15,horror,horror_fan,original,R,Manual metadata for current-weekend comp model; sub-wide Blumhouse horror release footprint.,,,,,2615
