weekend_of,sampled_at,theatre_name,tz,show_date,day_of_week,showtime,showtime_id,auditorium_type,adult_price,child_price,senior_price,convenience_fee,all_prices,raw_bytes
2026-09-18,2026-09-19T14:33:02Z,AMC Empire 25,ET,2026-09-18,Friday,8:00pm,146408934,Dolby Cinema at AMC,30.49,27.49,28.99,2.99,"{""Adult"":30.49,""Child"":27.49,""Senior"":28.99}",9372
2026-09-18,2026-09-19T14:33:03Z,AMC Empire 25,ET,2026-09-18,Friday,8:30pm,146409016,XL at AMC,24.49,21.49,22.99,2.99,"{""Adult"":24.49,""Child"":21.49,""Senior"":22.99}",9326
2026-09-18,2026-09-19T14:33:04Z,AMC Empire 25,ET,2026-09-18,Friday,9:00pm,147041116,PRIME at AMC,28.49,25.49,26.99,2.99,"{""Adult"":28.49,""Child"":25.49,""Senior"":26.99}",9339
2026-09-18,2026-09-19T14:33:05Z,AMC Empire 25,ET,2026-09-18,Friday,6:45pm,146408854,Open Caption (On-screen Subtitles),22.49,19.49,20.99,2.69,"{""Adult"":22.49,""Child"":19.49,""Senior"":20.99}",9326
2026-09-18,2026-09-19T14:33:06Z,AMC Empire 25,ET,2026-09-18,Friday,9:30pm,146408839,IMAX with Laser at AMC,30.49,27.49,28.99,2.99,"{""Adult"":30.49,""Child"":27.49,""Senior"":28.99}",9417
2026-09-18,2026-09-19T14:33:08Z,AMC Empire 25,ET,2026-09-19,Saturday,10:00am,146408846,English Spoken with Spanish Subtitles,17.99,15.59,16.79,2.69,"{""Adult"":17.99,""Child"":15.59,""Senior"":16.79}",10023
2026-09-18,2026-09-19T14:33:09Z,AMC Grand Rapids 18,ET,2026-09-18,Friday,8:15pm,147059419,Thrills & Chills,13.99,10.99,12.49,2.69,"{""Adult"":13.99,""Child"":10.99,""Senior"":12.49}",9251
2026-09-18,2026-09-19T14:33:09Z,AMC Grand Rapids 18,ET,2026-09-19,Saturday,1:00pm,147059416,Open Caption (On-screen Subtitles),11.19,8.79,9.99,2.69,"{""Adult"":11.19,""Child"":8.79,""Senior"":9.99}",9916
2026-09-18,2026-09-19T14:33:11Z,AMC Grand Rapids 18,ET,2026-09-20,Sunday,5:30pm,146601387,English Spoken with Spanish Subtitles,13.99,10.99,12.49,2.69,"{""Adult"":13.99,""Child"":10.99,""Senior"":12.49}",9233
2026-09-18,2026-09-19T14:33:13Z,AMC Weston 8,ET,2026-09-18,Friday,9:15pm,147108474,Laser at AMC,16.04,12.83,14.43,2.69,"{""Adult"":16.04,""Child"":12.83,""Senior"":14.43}",9326
2026-09-18,2026-09-19T14:33:13Z,AMC Majestic 12,ET,2026-09-18,Friday,7:30pm,146401227,BigD at AMC,17.47,14.19,15.83,2.99,"{""Adult"":17.47,""Child"":14.19,""Senior"":15.83}",9324
2026-09-18,2026-09-19T14:33:15Z,AMC Majestic 12,ET,2026-09-18,Friday,9:15pm,146401266,Thrills & Chills,16.38,13.1,14.74,2.69,"{""Adult"":16.38,""Child"":13.1,""Senior"":14.74}",9300
2026-09-18,2026-09-19T14:33:16Z,AMC Avenue 16,ET,2026-09-18,Friday,7:45pm,146606570,Laser at AMC,12.83,9.62,11.22,2.69,"{""Adult"":12.83,""Child"":9.62,""Senior"":11.22}",9256
2026-09-18,2026-09-19T14:33:19Z,AMC Avenue 16,ET,2026-09-18,Friday,8:35pm,147019251,BigD at AMC,16.04,12.83,14.43,2.99,"{""Adult"":16.04,""Child"":12.83,""Senior"":14.43}",9312
2026-09-18,2026-09-19T14:33:20Z,AMC Avenue 16,ET,2026-09-19,Saturday,12:40pm,147019258,BigD,13.47,10.9,12.19,2.69,"{""Adult"":13.47,""Child"":10.9,""Senior"":12.19}",9736
2026-09-18,2026-09-19T14:33:21Z,AMC Avenue 16,ET,2026-09-20,Sunday,1:45pm,147071470,Open Caption (On-screen Subtitles),10.26,7.69,8.98,2.69,"{""Adult"":10.26,""Child"":7.69,""Senior"":8.98}",9929
2026-09-18,2026-09-19T14:33:22Z,AMC Park Place 16,ET,2026-09-18,Friday,9:10pm,147091465,Thrills & Chills,13.93,10.71,12.32,2.69,"{""Adult"":13.93,""Child"":10.71,""Senior"":12.32}",9278
2026-09-18,2026-09-19T14:33:24Z,AMC Park Place 16,ET,2026-09-19,Saturday,3:10pm,147177940,Spanish Language Dubbed with No Subtitles,11.14,8.57,9.86,2.69,"{""Adult"":11.14,""Child"":8.57,""Senior"":9.86}",9954
2026-09-18,2026-09-19T14:33:25Z,AMC Kips Bay 15,ET,2026-09-18,Friday,7:45pm,147173168,IMAX with Laser at AMC,29.49,26.49,27.99,2.99,"{""Adult"":29.49,""Child"":26.49,""Senior"":27.99}",9431
