weekend_of,run_id,snapshot_time,snapshot_bucket,show_date,day_of_week,theatre_name,theatre_city,timezone,movie_title,showtime,showtime_id,minutes_until_showtime,auditorium_name,auditorium_type,total_seats,reserved_seats,available_seats,occupancy_pct,delta_reserved_since_previous,amc_seat_map_url,notes,chain
2026-06-26,fandango-2026-06-25T03:00Z,2026-06-25T03:41:36.929378+00:00,2026-06-25T03:00Z,2026-06-25,Thursday,Regal Quaker Crossing,"Buffalo, NY",America/New_York,Supergirl,19:10,2026-06-25 19:10,1169,,Standard,204,46,146,22.5,,https://tickets.fandango.com/mobileexpress/seatselection?row_count=549108363&mid=243716&chainCode=REGL&sdate=2026-06-25+19%3A10&tid=AAFSO&route=map-seat-map,,REGL
2026-06-26,fandango-2026-06-25T03:00Z,2026-06-25T03:41:36.929378+00:00,2026-06-25T03:00Z,2026-06-25,Thursday,Regal Harrisburg,"Harrisburg, PA",America/New_York,Supergirl,19:10,2026-06-25 19:10,1169,,Standard,254,13,237,5.1,,https://tickets.fandango.com/mobileexpress/seatselection?row_count=549087822&mid=243716&chainCode=REGL&sdate=2026-06-25+19%3A10&tid=AAOGS&route=map-seat-map,,REGL
2026-06-26,fandango-2026-06-25T03:00Z,2026-06-25T03:41:36.929378+00:00,2026-06-25T03:00Z,2026-06-25,Thursday,Regal Colonie Center,"Albany, NY",America/New_York,Supergirl,19:00,2026-06-25 19:00,1159,,Standard,221,23,194,10.4,,https://tickets.fandango.com/mobileexpress/seatselection?row_count=549255294&mid=243716&chainCode=REGL&sdate=2026-06-25+19%3A00&tid=AAUTQ&route=map-seat-map,,REGL
